id,year,school_name,jibun,road,school_code,region_code,graduate,general,characterization,science,foreigner,art,meister,private,public,etc,job,nothing,data_type,created_at,deleted_at,updated_at
492,2016,삼선중학교,서울특별시 성북구 동소문동1가  #140-1,서울특별시 성북구 동소문로3길 69,B100002270,1129010400,0.0,48.7,9.7,0.0,3.0,0.4,0.4,0.0,9.7,2.1,0.0,0.4,통계,2018-04-28 14:11:01.598329,,2018-04-28 14:11:01.598333
493,2016,서울대학교사범대학부설중학교,서울특별시 성북구 종암동  #7-10,서울특별시 성북구 월곡로 36,A000003514,1129013500,277.0,162.0,41.0,5.0,2.0,0.0,3.0,63.0,0.0,1.0,0.0,0.0,남,2018-04-28 14:11:02.786291,,2018-04-28 14:11:02.786295
494,2016,서울대학교사범대학부설중학교,서울특별시 성북구 종암동  #7-10,서울특별시 성북구 월곡로 36,A000003514,1129013500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-28 14:11:02.789403,,2018-04-28 14:11:02.789415
495,2016,서울대학교사범대학부설중학교,서울특별시 성북구 종암동  #7-10,서울특별시 성북구 월곡로 36,A000003514,1129013500,277.0,162.0,41.0,5.0,2.0,0.0,3.0,63.0,0.0,1.0,0.0,0.0,총합,2018-04-28 14:11:02.791455,,2018-04-28 14:11:02.791459
496,2016,서울대학교사범대학부설중학교,서울특별시 성북구 종암동  #7-10,서울특별시 성북구 월곡로 36,A000003514,1129013500,0.0,58.5,14.8,1.8,0.7,0.0,1.1,0.0,0.0,0.4,0.0,0.0,통계,2018-04-28 14:11:02.793474,,2018-04-28 14:11:02.793479
497,2016,석관중학교,서울특별시 성북구 석관동 #88-2번지,서울특별시 성북구 한천로 526,B100002273,1129013900,116.0,65.0,22.0,0.0,4.0,0.0,1.0,19.0,4.0,1.0,0.0,0.0,남,2018-04-28 14:11:03.967600,,2018-04-28 14:11:03.967604
498,2016,석관중학교,서울특별시 성북구 석관동 #88-2번지,서울특별시 성북구 한천로 526,B100002273,1129013900,176.0,102.0,53.0,0.0,7.0,0.0,0.0,5.0,6.0,3.0,0.0,0.0,여,2018-04-28 14:11:03.969533,,2018-04-28 14:11:03.969536
499,2016,석관중학교,서울특별시 성북구 석관동 #88-2번지,서울특별시 성북구 한천로 526,B100002273,1129013900,292.0,167.0,75.0,0.0,11.0,0.0,1.0,24.0,10.0,4.0,0.0,0.0,총합,2018-04-28 14:11:03.971338,,2018-04-28 14:11:03.971343
500,2016,석관중학교,서울특별시 성북구 석관동 #88-2번지,서울특별시 성북구 한천로 526,B100002273,1129013900,0.0,57.2,25.7,0.0,3.8,0.0,0.3,0.0,3.4,1.4,0.0,0.0,통계,2018-04-28 14:11:03.973187,,2018-04-28 14:11:03.973192
501,2016,성신여자중학교,서울특별시 성북구 돈암동 #산11-269,서울특별시 성북구 북악산로 918,B100002274,1129010300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남,2018-04-28 14:11:05.148147,,2018-04-28 14:11:05.148150
502,2016,성신여자중학교,서울특별시 성북구 돈암동 #산11-269,서울특별시 성북구 북악산로 918,B100002274,1129010300,281.0,213.0,44.0,0.0,4.0,3.0,0.0,14.0,0.0,3.0,0.0,0.0,여,2018-04-28 14:11:05.151140,,2018-04-28 14:11:05.151143
503,2016,성신여자중학교,서울특별시 성북구 돈암동 #산11-269,서울특별시 성북구 북악산로 918,B100002274,1129010300,281.0,213.0,44.0,0.0,4.0,3.0,0.0,14.0,0.0,3.0,0.0,0.0,총합,2018-04-28 14:11:05.153351,,2018-04-28 14:11:05.153366
504,2016,성신여자중학교,서울특별시 성북구 돈암동 #산11-269,서울특별시 성북구 북악산로 918,B100002274,1129010300,0.0,75.8,15.7,0.0,1.4,1.1,0.0,0.0,0.0,1.1,0.0,0.0,통계,2018-04-28 14:11:05.155441,,2018-04-28 14:11:05.155455
505,2016,숭곡중학교,서울특별시 성북구 하월곡동 #87-1,서울특별시 성북구 종암로 208,B100005612,1129013600,101.0,68.0,23.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,남,2018-04-28 14:11:06.471819,,2018-04-28 14:11:06.471823
506,2016,숭곡중학교,서울특별시 성북구 하월곡동 #87-1,서울특별시 성북구 종암로 208,B100005612,1129013600,131.0,98.0,28.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,여,2018-04-28 14:11:06.474729,,2018-04-28 14:11:06.474733
507,2016,숭곡중학교,서울특별시 성북구 하월곡동 #87-1,서울특별시 성북구 종암로 208,B100005612,1129013600,232.0,166.0,51.0,0.0,2.0,1.0,4.0,5.0,2.0,1.0,0.0,0.0,총합,2018-04-28 14:11:06.476986,,2018-04-28 14:11:06.476990
508,2016,숭곡중학교,서울특별시 성북구 하월곡동 #87-1,서울특별시 성북구 종암로 208,B100005612,1129013600,0.0,71.6,22.0,0.0,0.9,0.4,1.7,0.0,0.9,0.4,0.0,0.0,통계,2018-04-28 14:11:06.479249,,2018-04-28 14:11:06.479257
509,2016,용문중학교,서울특별시 성북구 안암동2가 #96-1번지,서울특별시 성북구 인촌로 17가길 46,B100002280,1129012200,154.0,107.0,27.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,남,2018-04-28 14:11:07.798923,,2018-04-28 14:11:07.798928
510,2016,용문중학교,서울특별시 성북구 안암동2가 #96-1번지,서울특별시 성북구 인촌로 17가길 46,B100002280,1129012200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-28 14:11:07.801579,,2018-04-28 14:11:07.801583
511,2016,용문중학교,서울특별시 성북구 안암동2가 #96-1번지,서울특별시 성북구 인촌로 17가길 46,B100002280,1129012200,154.0,107.0,27.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,총합,2018-04-28 14:11:07.803446,,2018-04-28 14:11:07.803450
512,2016,용문중학교,서울특별시 성북구 안암동2가 #96-1번지,서울특별시 성북구 인촌로 17가길 46,B100002280,1129012200,0.0,69.5,17.5,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.3,통계,2018-04-28 14:11:07.805201,,2018-04-28 14:11:07.805205
513,2016,월곡중학교,서울특별시 성북구 상월곡동  #35-1번지,서울특별시 성북구 장월로 6,B100002281,1129013700,82.0,54.0,16.0,2.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,남,2018-04-28 14:11:09.031420,,2018-04-28 14:11:09.031424
514,2016,월곡중학교,서울특별시 성북구 상월곡동  #35-1번지,서울특별시 성북구 장월로 6,B100002281,1129013700,179.0,130.0,39.0,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,여,2018-04-28 14:11:09.034361,,2018-04-28 14:11:09.034366
