id,jibun,road,year,school_code,region_code,graduate,general,characterization,science,foreigner,art,meister,private,public,etc,job,nothing,data_type,created_at,deleted_at,updated_at,school_name
177,서울특별시 성북구 동소문동1가  #140-1,서울특별시 성북구 동소문로3길 69,2017,B100002270,1129010400,196.0,101.0,24.0,0.0,6.0,0.0,3.0,59.0,0.0,3.0,0.0,0.0,남,2018-04-20 23:20:36.740673,,2018-04-20 23:20:36.740677,삼선중학교
178,서울특별시 성북구 동소문동1가  #140-1,서울특별시 성북구 동소문로3길 69,2017,B100002270,1129010400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-20 23:20:36.743029,,2018-04-20 23:20:36.743033,삼선중학교
179,서울특별시 성북구 동소문동1가  #140-1,서울특별시 성북구 동소문로3길 69,2017,B100002270,1129010400,196.0,101.0,24.0,0.0,6.0,0.0,3.0,59.0,0.0,3.0,0.0,0.0,총합,2018-04-20 23:20:36.744862,,2018-04-20 23:20:36.744866,삼선중학교
180,서울특별시 성북구 동소문동1가  #140-1,서울특별시 성북구 동소문로3길 69,2017,B100002270,1129010400,0.0,51.5,12.2,0.0,3.1,0.0,1.5,0.0,0.0,1.5,0.0,0.0,통계,2018-04-20 23:20:36.746541,,2018-04-20 23:20:36.746546,삼선중학교
181,서울특별시 성북구 종암동  #7-10,서울특별시 성북구 월곡로 36,2017,A000003514,1129013500,262.0,156.0,25.0,2.0,5.0,0.0,3.0,66.0,0.0,3.0,0.0,2.0,남,2018-04-20 23:20:37.922746,,2018-04-20 23:20:37.922749,서울대학교사범대학부설중학교
182,서울특별시 성북구 종암동  #7-10,서울특별시 성북구 월곡로 36,2017,A000003514,1129013500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-20 23:20:37.925397,,2018-04-20 23:20:37.925401,서울대학교사범대학부설중학교
183,서울특별시 성북구 종암동  #7-10,서울특별시 성북구 월곡로 36,2017,A000003514,1129013500,262.0,156.0,25.0,2.0,5.0,0.0,3.0,66.0,0.0,3.0,0.0,2.0,총합,2018-04-20 23:20:37.927326,,2018-04-20 23:20:37.927335,서울대학교사범대학부설중학교
184,서울특별시 성북구 종암동  #7-10,서울특별시 성북구 월곡로 36,2017,A000003514,1129013500,0.0,59.5,9.5,0.8,1.9,0.0,1.1,0.0,0.0,1.1,0.0,0.8,통계,2018-04-20 23:20:37.929115,,2018-04-20 23:20:37.929118,서울대학교사범대학부설중학교
185,서울특별시 성북구 석관동 #88-2번지,서울특별시 성북구 한천로 526,2017,B100002273,1129013900,104.0,63.0,28.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,남,2018-04-20 23:20:39.287779,,2018-04-20 23:20:39.287783,석관중학교
186,서울특별시 성북구 석관동 #88-2번지,서울특별시 성북구 한천로 526,2017,B100002273,1129013900,143.0,95.0,37.0,0.0,5.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,여,2018-04-20 23:20:39.291075,,2018-04-20 23:20:39.291079,석관중학교
187,서울특별시 성북구 석관동 #88-2번지,서울특별시 성북구 한천로 526,2017,B100002273,1129013900,247.0,158.0,65.0,0.0,5.0,0.0,1.0,11.0,4.0,3.0,0.0,0.0,총합,2018-04-20 23:20:39.293640,,2018-04-20 23:20:39.293649,석관중학교
188,서울특별시 성북구 석관동 #88-2번지,서울특별시 성북구 한천로 526,2017,B100002273,1129013900,0.0,64.0,26.3,0.0,2.0,0.0,0.4,0.0,1.6,1.2,0.0,0.0,통계,2018-04-20 23:20:39.296148,,2018-04-20 23:20:39.296181,석관중학교
189,서울특별시 성북구 돈암동 #산11-269,서울특별시 성북구 북악산로 918,2017,B100002274,1129010300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남,2018-04-20 23:20:43.928052,,2018-04-20 23:20:43.928055,성신여자중학교
190,서울특별시 성북구 돈암동 #산11-269,서울특별시 성북구 북악산로 918,2017,B100002274,1129010300,212.0,160.0,35.0,0.0,5.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,여,2018-04-20 23:20:43.930643,,2018-04-20 23:20:43.930647,성신여자중학교
191,서울특별시 성북구 돈암동 #산11-269,서울특별시 성북구 북악산로 918,2017,B100002274,1129010300,212.0,160.0,35.0,0.0,5.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,총합,2018-04-20 23:20:43.932389,,2018-04-20 23:20:43.932393,성신여자중학교
192,서울특별시 성북구 돈암동 #산11-269,서울특별시 성북구 북악산로 918,2017,B100002274,1129010300,0.0,75.5,16.5,0.0,2.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,통계,2018-04-20 23:20:43.934047,,2018-04-20 23:20:43.934050,성신여자중학교
